system:index,areakm2_cab,areakm2_mun,areakm2_munNoCab,mpio_ccnct,.geo
00000000000000000097_00000000000000001104_0000000000000000006f,0.7899940063476563,303.7578806395264,302.9685576425781,13030,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098_0000000000000000110a_00000000000000000070,0.6560097110595703,461.9283202137451,461.275678807251,13042,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099_0000000000000000110c_00000000000000000071,7.049677225097656,589.5422198433838,582.4887220701904,13052,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a_0000000000000000110e_00000000000000000072,0.5860838469238281,163.80654483520507,163.2222317454834,13062,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b_00000000000000001110_00000000000000000073,2.0072973836669923,430.6735000144043,428.6880893049316,13074,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c_00000000000000001114_00000000000000000074,1.7992816639404297,255.3465049083252,253.54337886230468,13140,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d_00000000000000001116_00000000000000000075,1.0909770170898438,881.5760870263672,880.4869500267334,13160,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e_00000000000000001118_00000000000000000076,1.9398945970458985,133.17242834472657,131.23539499072265,13188,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f_0000000000000000111a_00000000000000000077,0.9088455963134766,597.33435396521,596.4232172303467,13212,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_0000000000000000111e_00000000000000000078,2.789027786621094,85.38190026293945,82.59046203869629,13222,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1_00000000000000001120_00000000000000000079,5.39219056628418,946.2624190174561,940.87089771167,13244,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_00000000000000000b03_0000000000000000007a,0.7801758292236328,383.1748084228516,382.39188568103026,13248,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3_00000000000000001125_0000000000000000007b,0.29541229821777343,318.9246448833008,318.6297985257568,13268,"{""type"":""MultiPoint"",""coordinates"":[]}"
